DIA;VDA_CMV
19/12/2017;6851,86
20/12/2017;10748,11
21/12/2017;13481,6
22/12/2017;20029
23/12/2017;35422,6
24/12/2017;34783,32
26/12/2017;7475,83
27/12/2017;10079,02
28/12/2017;10736,3
29/12/2017;23177,19
30/12/2017;33061,58
31/12/2017;29545,11
01/01/2018;0
02/01/2018;2926,84
03/01/2018;3532,96
04/01/2018;5448,48
05/01/2018;9478,5
06/01/2018;15447,51
07/01/2018;6503,47
08/01/2018;3753,45
09/01/2018;3598,76
10/01/2018;5108,52
11/01/2018;4911,89
12/01/2018;8395,63
13/01/2018;14159,41
14/01/2018;5030,3
15/01/2018;2914,54
16/01/2018;3924,2
17/01/2018;4870,51
18/01/2018;5253,29
19/01/2018;9380,25
20/01/2018;15448,5
21/01/2018;4652,19
22/01/2018;4561,82
23/01/2018;2819,63
24/01/2018;6082,09
25/01/2018;7059,94
26/01/2018;11918,77
27/01/2018;18754,39
28/01/2018;6670,22
29/01/2018;4338,85
30/01/2018;4008,84
31/01/2018;5200,46
01/02/2018;5436,02
02/02/2018;10367,16
03/02/2018;18619,45
04/02/2018;5404,42
05/02/2018;4900,62
06/02/2018;4762,15
07/02/2018;10519,29
08/02/2018;13144,35
09/02/2018;15366,3
10/02/2018;23658,68
11/02/2018;9746,63
12/02/2018;13587,15
13/02/2018;5945,83
14/02/2018;5277,58
15/02/2018;4087,24
16/02/2018;7888,86
17/02/2018;13520,09
18/02/2018;6103,89
19/02/2018;3236,99
20/02/2018;4019,88
21/02/2018;6328,24
22/02/2018;7746,52
23/02/2018;10140,83
24/02/2018;18847,89
25/02/2018;6555,99
26/02/2018;2600,65
27/02/2018;2530,09
28/02/2018;3516,38
01/03/2018;7130,19
02/03/2018;11421,96
03/03/2018;19398,42
04/03/2018;6890,56
05/03/2018;2828,08
06/03/2018;3042,51
07/03/2018;7134,79
08/03/2018;7259,23
09/03/2018;9839,24
10/03/2018;17881,03
11/03/2018;6964,55
12/03/2018;2924,79
13/03/2018;4555,92
